AUDCAD,AUDCHF,CADCHF
AUDCAD,AUDJPY,CADJPY
AUDCAD,AUDNZD,NZDCAD
AUDCAD,AUDUSD,USDCAD
AUDCAD,EURAUD,EURCAD
AUDCAD,GBPAUD,GBPCAD
AUDCHF,AUDJPY,CHFJPY
AUDCHF,AUDNZD,NZDCHF
AUDCHF,AUDUSD,USDCHF
AUDCHF,EURAUD,EURCHF
AUDCHF,GBPAUD,GBPCHF
AUDJPY,AUDNZD,NZDJPY
AUDJPY,AUDUSD,USDJPY
AUDJPY,EURAUD,EURJPY
AUDJPY,GBPAUD,GBPJPY
AUDNZD,AUDUSD,NZDUSD
AUDNZD,EURAUD,EURNZD
AUDNZD,GBPAUD,GBPNZD
AUDUSD,EURAUD,EURUSD
AUDUSD,GBPAUD,GBPUSD
CADCHF,CADJPY,CHFJPY
CADCHF,EURCAD,EURCHF
CADCHF,GBPCAD,GBPCHF
CADCHF,NZDCAD,NZDCHF
CADCHF,USDCAD,USDCHF
CADJPY,EURCAD,EURJPY
CADJPY,GBPCAD,GBPJPY
CADJPY,NZDCAD,NZDJPY
CADJPY,USDCAD,USDJPY
CHFJPY,EURCHF,EURJPY
CHFJPY,GBPCHF,GBPJPY
CHFJPY,NZDCHF,NZDJPY
CHFJPY,USDCHF,USDJPY
EURAUD,EURGBP,GBPAUD
EURCAD,EURGBP,GBPCAD
EURCAD,EURNZD,NZDCAD
EURCAD,EURUSD,USDCAD
EURCHF,EURGBP,GBPCHF
EURCHF,EURNZD,NZDCHF
EURCHF,EURUSD,USDCHF
EURGBP,EURJPY,GBPJPY
EURGBP,EURNZD,GBPNZD
EURGBP,EURUSD,GBPUSD
EURJPY,EURNZD,NZDJPY
EURJPY,EURUSD,USDJPY
EURNZD,EURUSD,NZDUSD
GBPCAD,GBPNZD,NZDCAD
GBPCAD,GBPUSD,USDCAD
GBPCHF,GBPNZD,NZDCHF
GBPCHF,GBPUSD,USDCHF
GBPJPY,GBPNZD,NZDJPY
GBPJPY,GBPUSD,USDJPY
GBPNZD,GBPUSD,NZDUSD
NZDCAD,NZDUSD,USDCAD
NZDCHF,NZDUSD,USDCHF
NZDJPY,NZDUSD,USDJPY
